Month,Year,Rainfall,Source,Location
January,1972,9.14,SERCC,Cruz Bay
February,1972,7.14,SERCC,Cruz Bay
March,1972,13.39,SERCC,Cruz Bay
April,1972,9.17,SERCC,Cruz Bay
May,1972,3.38,SERCC,Cruz Bay
June,1972,6.73,SERCC,Cruz Bay
July,1972,5.28,SERCC,Cruz Bay
August,1972,8.56,SERCC,Cruz Bay
September,1972,10.85,SERCC,Cruz Bay
October,1972,6.88,SERCC,Cruz Bay
November,1972,7.44,SERCC,Cruz Bay
December,1972,11.56,SERCC,Cruz Bay
January,1973,4.29,SERCC,Cruz Bay
February,1973,6.48,SERCC,Cruz Bay
March,1973,3.23,SERCC,Cruz Bay
April,1973,6.4,SERCC,Cruz Bay
May,1973,6.4,SERCC,Cruz Bay
June,1973,7.32,SERCC,Cruz Bay
July,1973,10.77,SERCC,Cruz Bay
August,1973,8.51,SERCC,Cruz Bay
September,1973,15.42,SERCC,Cruz Bay
October,1973,12.9,SERCC,Cruz Bay
November,1973,5.77,SERCC,Cruz Bay
December,1973,5.77,SERCC,Cruz Bay
January,1974,11.4,SERCC,Cruz Bay
February,1974,2.46,SERCC,Cruz Bay
March,1974,4.06,SERCC,Cruz Bay
April,1974,9.7,SERCC,Cruz Bay
May,1974,3.96,SERCC,Cruz Bay
June,1974,2.21,SERCC,Cruz Bay
July,1974,8.59,SERCC,Cruz Bay
August,1974,17.75,SERCC,Cruz Bay
September,1974,18.64,SERCC,Cruz Bay
October,1974,30.45,SERCC,Cruz Bay
November,1974,24.31,SERCC,Cruz Bay
December,1974,6.12,SERCC,Cruz Bay
January,1975,7.26,SERCC,Cruz Bay
February,1975,3.48,SERCC,Cruz Bay
March,1975,9.98,SERCC,Cruz Bay
April,1975,4.42,SERCC,Cruz Bay
May,1975,5.41,SERCC,Cruz Bay
June,1975,3.33,SERCC,Cruz Bay
July,1975,5.61,SERCC,Cruz Bay
August,1975,5.36,SERCC,Cruz Bay
September,1975,16.46,SERCC,Cruz Bay
October,1975,11.56,SERCC,Cruz Bay
November,1975,14.38,SERCC,Cruz Bay
December,1975,19.18,SERCC,Cruz Bay
January,1976,4.39,SERCC,Cruz Bay
February,1976,7.67,SERCC,Cruz Bay
March,1976,4.04,SERCC,Cruz Bay
April,1976,7.59,SERCC,Cruz Bay
May,1976,5.56,SERCC,Cruz Bay
